sample_id,delay_ms
0,8.54146
1,51.5917
2,13.8911
3,7.08237
4,59.1754
5,186.598
6,76.2461
7,386.956
8,145.839
9,195.969
10,921.568
11,166.118
12,78.1421
13,909.787
14,202.377
15,136.82
16,1375.38
17,121.981
18,76.5922
19,820.847
20,90.2019
21,143.004
22,1410.36
23,53.918
24,43.7566
25,606.165
26,26.1363
27,149.751
28,19.8263
29,13.4108
30,10.0548
31,136.086
32,67.7613
33,1144.7
34,82.3464
35,591.684
36,1038.31
37,970.569
38,2700.97
39,1782.3
40,45.1621
41,114.209
42,70.9749
43,183.798
44,80.9726
45,169.69
46,41.633
47,107.655
48,237.971
49,120.937
50,175.127
51,104.521
52,131.762
53,68.0528
54,117.45
55,135.166
56,26.4096
57,13.9718
58,104.914
59,161.052
60,137.209
61,50.1205
62,58.9356
63,54.3962
64,172.447
65,192.166
66,3.01517
67,5.48492
