node_id,initial_energy_j,remaining_energy_j,consumed_energy_j
0,10000,9996.96,3.03887
1,10000,9993.68,6.32285
2,10000,9994.75,5.25168
3,10000,9994.22,5.78319
4,10000,9995.01,4.99144
5,10000,9995.49,4.51099
6,10000,9995.97,4.03016
7,10000,9997.17,2.83403
8,10000,9997.5,2.50429
9,10000,9998.04,1.95632
10,10000,9998.47,1.52731
11,10000,9994.18,5.81872
12,10000,9995.54,4.45752
13,10000,9995.04,4.95533
14,10000,9996.86,3.14484
15,10000,9996.15,3.84876
16,10000,9996.71,3.28793
17,10000,9996.63,3.36677
18,10000,9996.41,3.58723
19,10000,9997.5,2.49566
